date,open
2013/2/8,15.07
2013/2/11,14.89
2013/2/12,14.45
2013/2/13,14.3
2013/2/14,14.94
2013/2/15,13.93
2013/2/19,14.33
2013/2/20,14.17
2013/2/21,13.62
2013/2/22,13.57
2013/2/25,13.6
2013/2/26,13.14
2013/2/27,13.28
2013/2/28,13.49
2013/3/1,13.37
2013/3/4,13.5
2013/3/5,14.01
2013/3/6,14.52
2013/3/7,14.7
2013/3/8,14.99
2013/3/11,14.85
2013/3/12,15.14
2013/3/13,15.54
2013/3/14,15.98
2013/3/15,16.45
2013/3/18,15.8
2013/3/19,16.48
2013/3/20,17.13
2013/3/21,17.21
2013/3/22,17.1
2013/3/25,16.92
2013/3/26,16.67
2013/3/27,16.48
2013/3/28,17
2013/4/1,17.02
2013/4/2,16.48
2013/4/3,15.82
2013/4/4,15.12
2013/4/5,15.17
2013/4/8,15.82
2013/4/9,16.07
2013/4/10,15.74
2013/4/11,15.77
2013/4/12,16.11
2013/4/15,16.2
2013/4/16,15.96
2013/4/17,16.17
2013/4/18,16.54
2013/4/19,16.1
2013/4/22,15.99
2013/4/23,15.33
2013/4/24,16.26
2013/4/25,16.55
2013/4/26,16.38
2013/4/29,16.7
2013/4/30,16.8
2013/5/1,16.91
2013/5/2,16.72
2013/5/3,17.02
2013/5/6,17.05
2013/5/7,17.15
2013/5/8,17.01
2013/5/9,17.53
2013/5/10,17.61
2013/5/13,17.74
2013/5/14,17.82
2013/5/15,18.37
2013/5/16,18.96
2013/5/17,19.38
2013/5/20,19.05
2013/5/21,18.55
2013/5/22,18.06
2013/5/23,17.48
2013/5/24,18.11
2013/5/28,18.44
2013/5/29,18.06
2013/5/30,17.92
2013/5/31,17.66
2013/6/3,17.54
2013/6/4,17.78
2013/6/5,17.15
2013/6/6,16.92
2013/6/7,16.89
2013/6/10,17.09
2013/6/11,16.94
2013/6/12,16.97
2013/6/13,16.85
2013/6/14,16.96
2013/6/17,17.02
2013/6/18,16.94
2013/6/19,17.16
2013/6/20,16.73
2013/6/21,16.8
2013/6/24,16.06
2013/6/25,16.22
2013/6/26,16.5
2013/6/27,16.29
2013/6/28,16.24
2013/7/1,16.5
2013/7/2,16.78
2013/7/3,16.06
2013/7/5,16.93
2013/7/8,16.94
2013/7/9,17.01
2013/7/10,17.32
2013/7/11,17.4
2013/7/12,17.36
2013/7/15,17.66
2013/7/16,17.86
2013/7/17,17.96
2013/7/18,18.7
2013/7/19,18.26
2013/7/22,18.25
2013/7/23,18.33
2013/7/24,18.43
2013/7/25,18.49
2013/7/26,18.74
2013/7/29,19.07
2013/7/30,19.33
2013/7/31,19.25
2013/8/1,19.44
2013/8/2,19.38
2013/8/5,18.9
2013/8/6,19.17
2013/8/7,18.84
2013/8/8,18.99
2013/8/9,18.91
2013/8/12,18.49
2013/8/13,18.86
2013/8/14,16.05
2013/8/15,15.97
2013/8/16,15.7
2013/8/19,15.97
2013/8/20,15.64
2013/8/21,15.8
2013/8/22,15.91
2013/8/23,16.3
2013/8/26,16.16
2013/8/27,15.87
2013/8/28,15.38
2013/8/29,16.03
2013/8/30,16.1
2013/9/3,16.38
2013/9/4,16.49
2013/9/5,16.95
2013/9/6,17.18
2013/9/9,16.86
2013/9/10,17.69
2013/9/11,18.03
2013/9/12,17.69
2013/9/13,17.71
2013/9/16,18.16
2013/9/17,18.57
2013/9/18,18.68
2013/9/19,18.67
2013/9/20,18.94
2013/9/23,18.89
2013/9/24,18.79
2013/9/25,19.13
2013/9/26,19.17
2013/9/27,19.09
2013/9/30,18.34
2013/10/1,18.98
2013/10/2,20
2013/10/3,20
2013/10/4,20.31
